id,slope,elevation,rain_mean_year,soil_type,dist_river,rain_forecast_24h,label
150,0,123,0,Type 1,1575,0,0
151,26,1129,2251,Type 1,2047,13,0
152,11,285,2653,Type 1,10483,18,0
153,19,272,2245,Type 1,6131,16,0
154,36,1393,2516,Type 1,1009,13,0
155,21,1303,2230,Type 1,29447,15,0
156,11,850,2308,Type 1,5862,15,0
157,36,1096,1979,Type 1,6373,11,0
158,30,999,1840,Type 1,8760,11,0
159,27,1020,2430,Type 1,5343,14,0
160,21,1065,2036,Type 1,8171,8,0
161,42,2592,2258,Type 2,8597,13,0
162,20,1602,2157,Type 1,5147,11,0
163,2,66,2210,Type 1,3025,20,0
164,45,1898,2776,Type 1,2628,14,0
165,11,949,2231,Type 1,452,13,0
166,21,1239,2374,Type 1,8319,15,0
167,14,884,2219,Type 1,8618,15,0
168,8,90,2214,Type 1,1416,16,0
169,22,471,2483,Type 1,13699,16,0
170,36,921,2199,Type 1,1948,13,0
171,2,97,2245,Type 1,7427,16,0
172,37,504,0,Type 1,4057,0,0
173,32,854,2199,Type 1,4726,15,0
174,25,293,2064,Type 1,7598,15,0
175,19,215,2092,Type 1,7625,17,0
176,23,399,2014,Type 1,656,11,0
177,17,343,1923,Type 1,4017,13,0
178,16,134,0,Type 1,1639,0,0
179,54,1199,2179,Type 1,1287,15,0
180,14,911,2219,Type 1,6846,15,0
181,26,301,2321,Type 1,14753,17,0
182,26,1733,1886,Type 1,6446,12,0
183,13,145,2415,Type 1,10526,18,0
184,8,580,1764,Type 1,5717,12,0
185,23,345,2305,Type 1,4987,18,0
186,13,703,2333,Type 1,26110,15,0
187,15,438,0,Type 1,10949,0,0
188,46,1022,2014,Type 1,4140,11,0
189,21,185,2296,Type 1,27794,16,0
190,5,174,2597,Type 1,8217,18,0
191,43,1904,2381,Type 1,1412,13,0
192,12,1096,2048,Type 1,16198,16,0
193,12,157,2146,Type 1,3823,18,0
194,30,1206,2251,Type 1,2753,13,0
195,6,120,2152,Type 1,19229,20,0
196,23,844,2411,Type 1,4754,16,0
197,8,452,2415,Type 1,5086,18,0
198,28,689,0,Type 1,27661,0,0
199,5,333,2653,Type 1,11384,18,0
200,1,91,2009,Type 1,6674,18,0
201,26,889,2052,Type 2,455,13,0
202,8,230,2183,Type 1,9679,17,0
203,17,1276,2014,Type 2,1898,12,0
204,23,1017,2004,Type 2,2020,15,0
205,29,2088,3079,Type 2,3218,18,0
206,10,104,2140,Type 1,1200,16,0
207,29,450,2284,Type 1,1879,17,0
208,21,233,0,Type 1,6697,0,0
209,28,1384,2232,Type 1,3649,14,0
210,17,1576,2960,Type 2,1069,20,0
211,25,701,2255,Type 1,1677,14,0
212,28,162,2450,Type 1,2360,18,0
213,14,207,2112,Type 1,8054,17,0
214,33,1120,2232,Type 1,2937,13,0
215,23,349,2483,Type 1,16358,16,0
216,22,478,1892,Type 1,2362,11,0
217,11,627,2273,Type 1,5684,14,0
218,43,1889,2324,Type 1,3122,13,0
219,30,2498,2258,Type 2,7677,13,0
220,9,2618,1886,Type 1,3609,12,0
221,30,268,2450,Type 1,2782,18,0
222,20,895,2231,Type 1,3123,13,0
223,47,1026,2267,Type 1,1698,13,0
224,15,127,1974,Type 1,1982,17,0
225,10,2219,2381,Type 1,4056,13,0
226,5,153,2272,Type 1,6354,15,0
227,26,471,2247,Type 1,2271,13,0
228,30,477,2284,Type 1,2096,13,0
229,42,1689,1886,Type 1,2522,12,0
230,14,1095,2219,Type 1,8228,15,0
231,16,384,1923,Type 1,4487,13,0
232,16,337,2411,Type 1,3941,16,0
233,18,404,0,Type 1,3040,0,0
234,4,1344,2163,Type 2,6294,14,0
235,30,1794,1970,Type 1,7606,12,0
236,25,263,2597,Type 1,9608,18,0
237,15,1079,2125,Type 1,3937,12,0
238,20,704,2453,Type 1,2194,13,0
239,26,696,0,Type 1,2942,0,0
240,21,140,2183,Type 1,6971,17,0
